Date,Service,Admissions,Durée séjour (jours),Lits disponibles,Médecins,Infirmiers,Température (°C),Asthme (cas),Blessures (cas),Budget (euros),Stock Médicaments,Stock Consommables,Commandes Médicaments,Commandes Consommables,Capacité Max Médicaments,Capacité Max Consommables
2022-01-01,Orthopédie,11,3.57,37,11,22,2,0,6,48675,958,3896,0,0,1500,6000
2022-01-01,Pneumologie,30,3.74,0,11,22,7,5,0,35331,917,3600,0,2475,1300,5000
2022-01-02,Orthopédie,16,3.08,24,13,25,6,0,0,42460,974,3835,0,0,1500,6000
2022-01-02,Pneumologie,26,4.58,0,13,24,2,4,0,31889,878,3522,466,1268,1300,5000
2022-01-03,Orthopédie,19,3.14,14,12,22,4,0,0,41641,928,3823,0,0,1500,6000
2022-01-03,Pneumologie,29,4.47,4,11,24,4,4,0,35029,809,3487,388,1138,1300,5000
2022-01-04,Orthopédie,16,3.58,13,11,23,2,0,5,48308,934,3738,0,1491,1500,6000
2022-01-04,Pneumologie,21,3.94,0,11,24,2,3,0,38938,912,3738,0,1138,1300,5000
2022-01-05,Orthopédie,15,2.5,40,11,26,4,0,8,48100,951,3904,0,0,1500,6000
2022-01-05,Pneumologie,24,4.72,1,9,23,3,3,0,33503,931,3566,0,1451,1300,5000
2022-01-06,Orthopédie,9,3.61,47,13,22,2,0,6,48083,961,3929,0,0,1500,6000
2022-01-06,Pneumologie,28,4.7,0,9,26,6,5,0,37759,883,3591,413,2158,1300,5000
2022-01-07,Orthopédie,11,3.75,31,13,25,5,0,3,45276,941,3796,0,2492,1500,6000
2022-01-07,Pneumologie,28,3.07,0,11,24,2,4,0,31731,917,3574,0,1681,1300,5000
2022-01-08,Orthopédie,11,2.17,53,9,22,6,0,8,44019,965,3937,0,0,1500,6000
2022-01-08,Pneumologie,29,4.45,3,11,22,7,5,0,34106,844,3380,274,1370,1300,5000
2022-01-09,Orthopédie,18,2.64,23,12,25,2,0,1,42026,943,3835,0,0,1500,6000
2022-01-09,Pneumologie,20,3.37,5,11,25,3,3,0,34544,925,3794,0,1110,1300,5000
2022-01-10,Orthopédie,11,2.83,38,10,26,7,0,10,43721,985,3870,0,0,1500,6000
2022-01-10,Pneumologie,24,3.56,0,12,22,2,4,0,32667,874,3623,453,1494,1300,5000
2022-01-11,Orthopédie,16,2.93,28,9,26,3,0,1,42286,965,3804,0,0,1500,6000
2022-01-11,Pneumologie,29,4.0,0,13,22,5,5,0,31288,919,3545,0,1116,1300,5000
2022-01-12,Orthopédie,17,3.47,11,12,25,4,0,9,44960,921,3879,0,0,1500,6000
2022-01-12,Pneumologie,30,4.92,1,9,23,6,5,0,35526,848,3461,240,1535,1300,5000
2022-01-13,Orthopédie,15,3.81,20,11,25,2,0,9,48495,918,3833,0,0,1500,6000
2022-01-13,Pneumologie,34,4.65,0,11,24,3,6,0,32735,802,3407,332,2214,1300,5000
2022-01-14,Orthopédie,9,2.77,45,10,24,2,0,3,43337,967,3912,0,0,1500,6000
2022-01-14,Pneumologie,29,4.36,0,11,24,5,5,0,32409,815,3411,256,1382,1300,5000
2022-01-15,Orthopédie,15,2.62,35,11,26,7,0,1,47744,944,3867,0,0,1500,6000
2022-01-15,Pneumologie,29,3.7,0,9,22,6,5,0,31298,862,3710,483,1064,1300,5000
2022-01-16,Orthopédie,13,3.55,29,11,23,4,0,1,43785,936,3811,0,0,1500,6000
2022-01-16,Pneumologie,29,4.04,2,9,22,6,4,0,35965,851,3665,394,1746,1300,5000
2022-01-17,Orthopédie,11,3.38,34,11,26,6,0,9,44633,953,3892,0,0,1500,6000
2022-01-17,Pneumologie,31,4.81,3,10,26,3,5,0,33395,791,3432,291,1815,1300,5000
2022-01-18,Orthopédie,9,3.89,43,11,24,4,0,6,46571,967,3920,0,0,1500,6000
2022-01-18,Pneumologie,23,3.76,0,13,25,6,3,0,33026,942,3694,0,1188,1300,5000
